id,name,type,parent_id,canonical,name_norm
e65d1322-a15d-46c5-9be5-a4ca2095a17a,Caculama,COMUNA,b7e254cd-e1ba-4e31-b075-02ed8bddf313,Caculama,caculama
2b904ed8-c3c7-4862-b7fd-59879a26275e,Caculo Cahango,COMUNA,67f2b0e4-d304-46ef-bb63-889afcf88414,Caculo Cahango,caculocahango
64178057-b7bf-4a1b-a7f8-af36f0c72fdb,Caculo Camuiza,COMUNA,58b39f99-44bb-4797-90b5-b17c080f5a4e,Caculo Camuiza,caculocamuiza
c09b381e-9ad2-453f-a8ca-e7a043da160a,Cacuso,COMUNA,c271f989-afc0-4543-8128-72910a180a67,Cacuso,cacuso
ef503e73-a6be-477a-980d-5120d6dd95ec,Cage Mazumbo,COMUNA,632045da-005e-404a-87c4-944d5770e0b7,Cage Mazumbo,cagemazumbo
30c44921-421f-433f-b71c-ef9ccf7e73ce,Cahama,COMUNA,121facc8-9bc3-4937-af05-24bad2f990a3,Cahama,cahama
5fa797ce-a4cc-4d1f-95ba-e5ef0bca661d,Cahombo,COMUNA,8a707fbb-4e3d-454c-9080-bde435879a89,Cahombo,cahombo
ee8bb905-76b4-4e83-b033-da0569d8a033,Caiave,COMUNA,ba226868-9030-4688-b2fe-cf68f4d824a5,Caiave,caiave
479eb67e-a918-422d-871c-9844ab51f8a8,Caieie,COMUNA,d8590fbf-3f8c-4adf-9c73-8edb9eb21166,Caieie,caieie
fc318868-93e7-47d9-a543-370eb7f7b281,Caimbambo,COMUNA,ba226868-9030-4688-b2fe-cf68f4d824a5,Caimbambo,caimbambo
d9b9096a-e19e-4d6b-9472-2ad6edc2b7c1,Cainde,COMUNA,c743d3e0-138a-4b25-9031-ef2bcbce2832,Cainde,cainde
5ea41c82-848a-43dc-b8a4-c185f9528085,Caiongo,COMUNA,924406e8-fe01-4cb7-a10e-708cac872164,Caiongo,caiongo
e9e6fa78-62bd-4e1f-868f-adc92d899326,Caitou,COMUNA,449c0eea-76c7-468b-8dd6-bb6cd058bdc9,Caitou,caitou
34cd4a66-a30d-496f-a7b0-fe3dfb3a927f,Caiuera,COMUNA,278a2327-c81c-4ade-8f8b-1c4561b9d35f,Caiuera,caiuera
69c4363c-0114-4cfd-9c3c-ad39e8d4b2bb,Caiundo,COMUNA,23073864-552d-499b-96ba-d247233d73b0,Caiundo,caiundo
4d70de6f-a1ea-4ace-8101-e61b6ccecf59,Calandula,COMUNA,7755e6e9-e896-44fb-bfd2-fb1c3fbae704,Calandula,calandula
0b0adc12-b93d-4b22-9c14-afe8dbda9fa0,Calepi,COMUNA,98022069-c4ac-4702-a001-05076c1481af,Calepi,calepi
21ce14d5-d78e-492e-ba72-89f6df0c4193,Calima,COMUNA,366b8687-f578-403b-9b04-45950fda19bf,Calima,calima
d7c9a0cf-c863-4786-beb5-cc99592f4a47,Caluango,COMUNA,033398e0-c595-41ba-8717-645162ab20fd,Caluango,caluango
72a19222-b384-4ec9-abc0-08844b0504ba,Caluca,COMUNA,bf66b7f2-2fdc-48ec-9812-ad53b4b78969,Caluca,caluca
b9f4740e-0584-4dfc-90ca-1095d0608f73,Calulo,COMUNA,58dc5d51-3152-4925-a851-1f77388b3394,Calulo,calulo
db0f5c62-362b-462b-a682-3b8481a88342,Calunda,COMUNA,ed38ef7d-f5d5-4058-a4de-ff1efdaa2e19,Calunda,calunda
f6a1e5c3-8005-44cd-a2c1-993793fe9593,Caluquembe,COMUNA,98022069-c4ac-4702-a001-05076c1481af,Caluquembe,caluquembe
d3b8ad1b-bed6-402f-b470-d6652b63bb45,Camabatela,COMUNA,cbcd5aa8-db69-4688-add2-d0b5449a8e5b,Camabatela,camabatela
3ef2b018-12fb-4ef3-8adb-a7df757df8c0,Camacupa,COMUNA,50bdebd3-101c-488c-83c4-ca58d1f06a88,Camacupa,camacupa
b7366ff9-f2e0-4f88-988a-ed3aae4674eb,Camame,COMUNA,92d12e20-a6a4-4411-a3fe-cd0c6ac5a968,Camame,camame
921532cb-ce39-4854-be21-f34061810783,Camatambo,COMUNA,47201005-3f04-43c7-81c4-508afde44775,Camatambo,camatambo
7a50c613-6350-4c7d-90db-036b5cf5e42a,Cambamba,COMUNA,68e00980-5325-4756-9d24-408bae429565,Cambamba,cambamba
ca87c4b8-0013-45e1-bb4a-e0b3d7af3527,Cambaxe,COMUNA,0a707eb1-6b07-4d73-aa22-4095d0e79170,Cambaxe,cambaxe
3b27d71e-b431-471e-8b3a-cec6da5dcd3b,Cambondo,COMUNA,19ca811a-c5fb-4292-acfd-24d848ceec9b,Cambondo,cambondo
3c01e017-2b35-45c9-991a-020307c24f48,Cambuengo,COMUNA,2ce85ec0-c404-4882-9b51-8dd2a1acb0fe,Cambuengo,cambuengo
